#Energy		Efficiency			Error
5.62040086	-1.744112815760702		0.0
5.71323763	-1.8054527963600575		0.0		
5.87495882	-1.8971199848858813		0.0
5.9502258	-1.9491152800042617		0.0
4.8022301	-2.1883639489040227		0.0034 
5.50002235	-1.7579379207525443		0.0066
5.84145092	-1.8838747581358606		0.0048
6.65788267	-2.3475824589247813		0.0022
6.76547717	-2.4292827460400033		0.0021
6.87115042	-2.4292827460400033		0.0021
6.9901064	-2.540842282118304		0.0020
7.01398382	-2.5484856314308715		0.0020
7.24993477	-2.695627681103653		0.0017
6.72566969	-2.3957974747162245		0.0
6.94622571	-2.5157783134550873		0.0
7.69147872	-3.0726133178899486		0.0
7.92002142	-3.2314546070750607		0.0
8.36524874	-3.473768074496991		0.0

